artist_id,full_name,first_name,middle_names,last_name,nationality,style,birth,death
500,"Pierre-Auguste Renoir",Pierre,Auguste,Renoir,French,Impressionist,1841,1919
501,"Alexandre Cabanel",Alexandre,NULL,Cabanel,French,Classicist,1823,1889
502,"James Ensor",James,NULL,Ensor,Belgian,Expressionist,1860,1949
503,"Maximilien Luce",Maximilien,NULL,Luce,French,Pointillist,1858,1941
504,"August Macke",August,NULL,Macke,German,Expressionist,1887,1914
505,"Thomas Gainsborough",Thomas,NULL,Gainsborough,English,Rococo,1727,1788
506,"Julien Dupré",Julien,NULL,Dupre,French,Naturalist,1851,1910
507,"George Catlin",George,NULL,Catlin,American,"American West",1796,1872
508,"Federico Zandomeneghi",Federico,NULL,Zandomeneghi,Italian,Expressionist,1841,1917
509,"Cornelis Springer",Cornelis,NULL,Springer,Dutch,"Landscape Art",1817,1891
510,"Hans Memling",Hans,NULL,Memling,Dutch,"Northern Renaissance",1435,1494
511,"Piet Mondrian",Piet,NULL,Mondrian,Dutch,"Modern Art",1872,1944
512,"Lemuel Francis Abbott",Lemuel,Francis,Abbott,English,Portraitist,1760,1803
513,"Mary Cassatt",Mary,NULL,Cassatt,American,Impressionist,1844,1926
514,"Heinrich Campendonk",Heinrich,NULL,Campendonk,German,Expressionist,1889,1957
515,"Thomas Cole",Thomas,NULL,Cole,American,"Hudson River School",1801,1848
516,"Thomas Luny",Thomas,NULL,Luny,English,"Marine Art",1759,1837
517,"Eugène-Louis Boudin",Eugene,Louis,Boudin,French,Impressionist,1824,1898
518,"Hendrick Dubbels",Hendrick,NULL,Dubbels,Dutch,"Marine Art",1621,1676
519,"Frank Duveneck",Frank,NULL,Duveneck,American,Realist,1848,1919
520,"Asher Brown Durand",Asher,Brown,Durand,American,"Hudson River School",1796,1886
521,"George Henry Laporte",George,Henry,Laporte,English,Realist,1799,1873
522,"Peter Monamy",Peter,NULL,Monamy,English,"Marine Art",1681,1749
523,"John Francis Rigaud",John,Francis,Rigaud,English,Portraitist,1742,1810
524,"John William Waterhouse",John,William,Waterhouse,English,Romantic,1849,1917
525,"Francis William Edmonds",Francis,William,Edmonds,American,Colonial,1806,1863
526,"Frank Weston Benson",Benson,Frank,Weston,American,Impressionist,1862,1951
527,"Jean Raoux",Jean,NULL,Raoux,French,Rococo,1677,1734
528,"Joseph Ducreux",Joseph,NULL,Ducreux,French,Portraitist,1735,1802
529,"Gustaf Wilhelm Palm",Gustaf,Wilhelm,Palm,Swiss,Classicist,1810,1890
530,"Edward William Cooke",Edward,William,Cooke,English,"Marine Art",1811,1880
531,"Camille Pissarro",Camille,NULL,Pissarro,French,Impressionist,1830,1903
532,"Pieter Quast",Pieter,NULL,Quast,Dutch,Baroque,1606,1647
533,"George Wesley Bellows",George,Wesley,Bellows,American,Realist,1882,1925
534,"Alfred Henry Maurer",Alfred,Henry,Maurer,American,Avant-Garde,1868,1932
535,"Pierre-Henri De Valenciennes",Pierre,Henri,"De Valenciennes",French,Romantic,1750,1819
536,"Henri Lebasque",Henri,NULL,Lebasque,French,Post-Impressionist,1865,1937
537,"Claude Lorrain",Claude,NULL,Lorraine,French,Baroque,1602,1682
538,"Thomas Moran",Thomas,NULL,Moran,American,"Hudson River School",1837,1926
539,"Jean-Baptiste Greuze",Jean,Baptiste,Greuze,French,Rococo,1725,1805
540,"Fernand Cormon",Fernand,NULL,Cormon,French,Classicist,1845,1924
541,"Pierre Puvis De Chavannes",Pierre,Puvis,"De Chavannes",French,Symbolist,1824,1898
542,"Sir Henry Raeburn",Henry,NULL,Raeburn,English,Romantic,1756,1823
543,"Charles Peale Polk",Charles,Peale,Polk,American,Portraitist,1767,1822
544,"Peter Paul Rubens",Peter,Paul,Rubens,Flemish,Baroque,1577,1640
545,"Odilon Redon",Odilon,NULL,Redon,French,Symbolist,1840,1916
546,"Vilhelm Hammershoi",Vilhelm,NULL,Hammershoi,Danish,Symbolist,1864,1916
547,"Édouard Vuillard",Edouard,NULL,Vuillard,French,Nabi,1868,1940
548,"Albrecht Durer",Albrecht,NULL,Durer,German,"Northern Renaissance",1471,1528
549,"Arnold Böcklin",Arnold,NULL,Bocklin,Swiss,Symbolist,1827,1901
550,"Claude Monet",Claude,NULL,Monet,French,Impressionist,1840,1926
551,"Sir Lawrence Alma-Tadema",Lawrence,Alma,Tadema,English,Classicist,1836,1912
552,"Maurice Denis",Maurice,NULL,Denis,French,Nabi,1870,1943
553,"El Greco",Dom?nikos,NULL,Theotokópoulos,Spanish,Mannerist,1541,1614
554,"Frans Jansz Post",Frans,Jansz,Post,Dutch,Baroque,1612,1680
555,"Angel Zárraga",Angel,NULL,Zarraga,Mexican,Realist,1886,1946
556,"James Tissot",James,NULL,Tissot,French,Classicist,1836,1902
